input size, runtime in ms(unsorted), runtime in ms(ascending), runtime in ms(descending), swaps(unsorted), swaps(ascending), swaps(descending)
100,0,0,0, 2491,0,4950
300,0,0,0, 21598,0,44850
500,2,1,2, 61129,0,124750
700,4,3,4, 124957,0,244650
900,7,6,7, 198621,0,404550
1100,12,9,10, 292828,0,604450
1300,14,13,15, 412332,0,844350
1500,20,16,20, 548803,0,1124250
1700,27,22,27, 698073,0,1444150
1900,32,27,34, 869372,0,1804050
2100,39,33,43, 1065191,0,2203950
2300,55,43,50, 1285618,0,2643850
2500,57,45,63, 1537473,0,3123750
2700,65,54,70, 1814525,0,3643650
2900,74,62,87, 2086458,0,4203550
3100,93,75,96, 2388177,0,4803450
3300,101,84,111, 2694733,0,5443350
3500,115,93,116, 3047010,0,6123250
3700,125,111,133, 3413985,0,6843150
3900,144,125,151, 3793681,0,7603050
4100,160,126,164, 4183239,0,8402950
4300,170,142,188, 4636491,0,9242850
4500,195,158,190, 5073535,0,10122750
4700,202,169,213, 5551136,0,11042650
4900,221,184,225, 6025076,0,12002550
5100,240,206,257, 6498173,0,13002450
5300,266,220,278, 7047827,0,14042350
5500,273,242,300, 7586226,0,15122250
5700,307,255,326, 8161663,0,16242150
5900,330,271,350, 8730403,0,17402050
6100,355,299,372, 9325515,0,18601950
6300,380,310,394, 9983206,0,19841850
6500,382,316,398, 10607877,0,21121750
6700,410,343,448, 11225864,0,22441650
6900,453,377,475, 11900352,0,23801550
7100,496,401,495, 12596207,0,25201450
7300,516,417,530, 13321247,0,26641350
7500,531,445,541, 14061156,0,28121250
7700,556,466,581, 14784427,0,29641150
7900,600,496,624, 15562707,0,31201050
8100,630,518,639, 16390391,0,32800950
8300,649,530,669, 17216897,0,34440850
8500,663,578,715, 18121319,0,36120750
8700,702,599,759, 19051527,0,37840650
8900,742,575,736, 19980772,0,39600550
9100,769,616,818, 20868164,0,41400450
9300,828,686,874, 21796203,0,43240350
9500,833,686,889, 22805059,0,45120250
9700,873,732,932, 23701438,0,47040150
9900,942,780,949, 24612772,0,49000050
10100,934,789,1003, 25654666,0,50999950
10300,1018,840,1056, 26689268,0,53039850
10500,1027,843,1068, 27754696,0,55119750
10700,1057,896,1140, 28773660,0,57239650
10900,1118,911,1132, 29920500,0,59399550
11100,1131,888,1142, 31032982,0,61599450
11300,1148,907,1179, 32206228,0,63839350
11500,1189,944,1220, 33284560,0,66119250
11700,1234,1036,1316, 34434761,0,68439150
11900,1295,1073,1370, 35605698,0,70799050
12100,1351,1118,1391, 36747155,0,73198950
12300,1379,1148,1448, 38037132,0,75638850
12500,1416,1181,1505, 39318788,0,78118750
12700,1460,1210,1516, 40611625,0,80638650
12900,1515,1266,1602, 41931790,0,83198550
13100,1563,1304,1652, 43172461,0,85798450
13300,1614,1335,1717, 44494556,0,88438350
13500,1663,1388,1758, 45856553,0,91118250
13700,1704,1411,1830, 47186584,0,93838150
13900,1773,1464,1889, 48583529,0,96598050
14100,1885,1547,1945, 49961065,0,99397950
14300,1916,1599,2029, 51387836,0,102237850
14500,1990,1655,2138, 52722222,0,105117750
14700,2015,1694,2138, 54170989,0,108037650
14900,2077,1716,2170, 55641201,0,110997550
15100,2102,1654,2249, 57084654,0,113997450
15300,2200,1852,2318, 58657155,0,117037350
15500,2262,1885,2370, 60239282,0,120117250
15700,2303,1920,2404, 61739522,0,123237150
15900,2375,1971,2404, 63195900,0,126397050
16100,2383,1942,2476, 64823096,0,129596950
16300,2411,1996,2547, 66359020,0,132836850
16500,2487,2055,2603, 67955887,0,136116750
16700,2533,2107,2686, 69649299,0,139436650
16900,2626,2187,2746, 71300343,0,142796550
17100,2649,2196,2760, 72993761,0,146196450
17300,2731,2289,2880, 74651625,0,149636350
17500,2822,2339,2944, 76496226,0,153116250
17700,2927,2421,3071, 78184732,0,156636150
17900,2944,2481,3139, 80104168,0,160196050
18100,3005,2528,3166, 81789945,0,163795950
18300,3068,2539,3238, 83601020,0,167435850
18500,3148,2611,3319, 85502496,0,171115750
18700,3165,2612,3364, 87267395,0,174835650
18900,3250,2668,3404, 89251432,0,178595550
19100,3301,2761,3462, 91195114,0,182395450
19300,3352,2770,3519, 93120186,0,186235350
19500,3412,2859,3591, 95133592,0,190115250
19700,3473,2933,3678, 96939629,0,194035150
19900,3546,2989,3753, 98815098,0,197995050
