input size, runtime in ms(unsorted), runtime in ms(ascending), runtime in ms(descending), swaps(unsorted), swaps(ascending), swaps(descending)
100,0,0,0, 2590,99,5049
300,1,0,1, 21897,299,45149
500,2,0,8, 61628,499,125249
700,4,2,11, 125656,699,245349
900,9,3,15, 199520,899,405449
1100,10,2,19, 293927,1099,605549
1300,17,1,29, 413631,1299,845649
1500,20,2,39, 550302,1499,1125749
1700,27,3,47, 699772,1699,1445849
1900,34,3,55, 871271,1899,1805949
2100,37,6,69, 1067290,2099,2206049
2300,48,4,82, 1287917,2299,2646149
2500,51,3,82, 1539972,2499,3126249
2700,55,4,98, 1817224,2699,3646349
2900,62,5,118, 2089357,2899,4206449
3100,71,6,127, 2391276,3099,4806549
3300,81,5,140, 2698032,3299,5446649
3500,90,5,151, 3050509,3499,6126749
3700,103,4,167, 3417684,3699,6846849
3900,110,10,184, 3797580,3899,7606949
4100,115,5,202, 4187338,4099,8407049
4300,126,9,222, 4640790,4299,9247149
4500,135,10,247, 5078034,4499,10127249
4700,152,8,265, 5555835,4699,11047349
4900,166,8,307, 6029975,4899,12007449
5100,184,14,312, 6503272,5099,13007549
5300,182,9,338, 7053126,5299,14047649
5500,216,14,376, 7591725,5499,15127749
5700,216,18,381, 8167362,5699,16247849
5900,223,9,481, 8736302,5899,17407949
6100,240,15,428, 9331614,6099,18608049
6300,255,11,454, 9989505,6299,19848149
6500,272,9,485, 10614376,6499,21128249
6700,284,10,498, 11232563,6699,22448349
6900,308,15,548, 11907251,6899,23808449
7100,302,15,553, 12603306,7099,25208549
7300,322,11,602, 13328546,7299,26648649
7500,358,14,635, 14068655,7499,28128749
7700,357,16,658, 14792126,7699,29648849
7900,382,32,692, 15570606,7899,31208949
8100,401,19,743, 16398490,8099,32809049
8300,421,35,760, 17225196,8299,34449149
8500,428,15,788, 18129818,8499,36129249
8700,468,15,814, 19060226,8699,37849349
8900,469,18,870, 19989671,8899,39609449
9100,506,15,931, 20877263,9099,41409549
9300,511,30,931, 21805502,9299,43249649
9500,541,16,970, 22814558,9499,45129749
9700,554,18,996, 23711137,9699,47049849
9900,577,27,1020, 24622671,9899,49009949
10100,594,27,1111, 25664765,10099,51010049
10300,610,25,1144, 26699567,10299,53050149
10500,625,25,1158, 27765195,10499,55130249
10700,660,22,1212, 28784359,10699,57250349
10900,681,27,1256, 29931399,10899,59410449
11100,700,24,1299, 31044081,11099,61610549
11300,733,29,1353, 32217527,11299,63850649
11500,766,28,1381, 33296059,11499,66130749
11700,801,27,1462, 34446460,11699,68450849
11900,797,27,1475, 35617597,11899,70810949
12100,827,28,1564, 36759254,12099,73211049
12300,850,24,1569, 38049431,12299,75651149
12500,861,30,1617, 39331287,12499,78131249
12700,907,27,1701, 40624324,12699,80651349
12900,962,29,1740, 41944689,12899,83211449
13100,1002,32,1804, 43185560,13099,85811549
13300,984,28,1914, 44507855,13299,88451649
13500,1023,30,1997, 45870052,13499,91131749
13700,1071,66,1953, 47200283,13699,93851849
13900,1080,41,2024, 48597428,13899,96611949
14100,1097,43,2138, 49975164,14099,99412049
14300,1158,45,2152, 51402135,14299,102252149
14500,1090,40,2091, 52736721,14499,105132249
14700,1171,63,2174, 54185688,14699,108052349
14900,1174,38,2267, 55656100,14899,111012449
15100,1199,36,2216, 57099753,15099,114012549
15300,1244,34,2388, 58672454,15299,117052649
15500,1289,31,2383, 60254781,15499,120132749
15700,1289,32,2527, 61755221,15699,123252849
15900,1370,43,2731, 63211799,15899,126412949
16100,1401,38,2527, 64839195,16099,129613049
16300,1387,30,2606, 66375319,16299,132853149
16500,1441,38,2645, 67972386,16499,136133249
16700,1471,41,2705, 69665998,16699,139453349
16900,1474,49,2826, 71317242,16899,142813449
17100,1505,40,2838, 73010860,17099,146213549
17300,1509,35,2920, 74668924,17299,149653649
17500,1575,38,2924, 76513725,17499,153133749
17700,1636,31,2980, 78202431,17699,156653849
17900,1645,45,3114, 80122067,17899,160213949
18100,1637,41,3160, 81808044,18099,163814049
18300,1705,39,3185, 83619319,18299,167454149
18500,1724,45,3259, 85520995,18499,171134249
18700,1775,82,3347, 87286094,18699,174854349
18900,1774,45,3363, 89270331,18899,178614449
19100,1860,49,3436, 91214213,19099,182414549
19300,1864,44,3509, 93139485,19299,186254649
19500,1966,45,3572, 95153091,19499,190134749
19700,1925,50,3656, 96959328,19699,194054849
19900,1971,54,3742, 98834997,19899,198014949
