input size, runtime in ms(unsorted), runtime in ms(ascending), runtime in ms(descending)
100,0,0,0
300,0,0,0
500,0,2,1
700,0,4,4
900,0,8,6
1100,0,11,10
1300,0,16,13
1500,0,20,19
1700,0,29,25
1900,0,39,30
2100,0,41,35
2300,0,50,46
2500,0,62,52
2700,0,72,64
2900,0,83,70
3100,0,88,79
3300,0,111,94
3500,0,121,103
3700,0,133,116
3900,1,154,124
4100,1,166,144
4300,1,186,152
4500,1,201,174
4700,1,218,191
4900,1,238,199
5100,1,250,221
5300,1,278,236
5500,1,296,260
5700,1,310,261
5900,1,334,289
6100,1,364,316
6300,1,387,331
6500,1,422,352
6700,1,440,387
6900,1,471,402
7100,2,501,426
7300,2,531,449
7500,3,561,471
7700,2,587,505
7900,2,624,531
8100,2,648,544
8300,5,678,587
8500,2,726,614
8700,3,744,636
8900,3,775,661
9100,3,808,695
9300,3,858,731
9500,3,893,748
9700,3,933,790
9900,2,978,825
10100,2,1023,868
10300,2,1068,903
10500,3,1078,921
10700,3,1120,950
10900,3,1171,992
11100,3,1220,1027
11300,3,1245,1081
11500,3,1318,1121
11700,3,1349,1133
11900,3,1378,1171
12100,3,1431,1211
12300,3,1477,1248
12500,3,1509,1306
12700,4,1593,1359
12900,4,1607,1322
13100,4,1629,1379
13300,4,1679,1435
13500,3,1719,1461
13700,4,1773,1535
13900,4,1899,1612
14100,4,1950,1668
14300,4,2010,1712
14500,5,2063,1769
14700,5,2103,1731
14900,4,2198,1855
15100,4,2233,1910
15300,5,2293,1945
15500,4,2341,1997
15700,4,2394,2081
15900,5,2481,2100
16100,4,2519,2184
16300,4,2616,2231
16500,5,2690,2277
16700,5,2842,2342
16900,5,2879,2412
17100,4,2899,2470
17300,4,2930,2498
17500,5,3006,2539
17700,5,3083,2596
17900,5,3151,2718
18100,5,3217,2725
18300,5,3270,2835
18500,6,3359,2848
18700,6,3430,2959
18900,6,3507,2967
19100,5,3626,3060
19300,5,3682,3167
19500,6,3757,3135
19700,7,3723,3164
19900,6,3795,3382
