input size, runtime in ms(unsorted), runtime in ms(ascending), runtime in ms(descending)
100,0,0,0
300,0,0,0
500,0,2,2
700,0,5,4
900,0,7,7
1100,0,11,9
1300,0,16,15
1500,0,22,18
1700,0,28,24
1900,0,35,30
2100,0,43,36
2300,0,51,43
2500,0,64,54
2700,0,75,61
2900,1,84,69
3100,0,93,82
3300,0,108,94
3500,0,121,101
3700,1,135,119
3900,1,150,126
4100,0,165,135
4300,1,181,153
4500,1,195,163
4700,1,214,181
4900,1,235,201
5100,1,253,210
5300,1,275,234
5500,1,305,250
5700,1,318,268
5900,1,341,300
6100,1,366,306
6300,1,395,340
6500,1,419,355
6700,2,443,376
6900,1,463,395
7100,2,495,425
7300,2,522,437
7500,1,554,461
7700,2,581,495
7900,2,620,519
8100,2,643,550
8300,2,677,566
8500,2,710,601
8700,2,747,632
8900,2,778,663
9100,2,810,689
9300,2,846,746
9500,3,887,741
9700,2,920,791
9900,3,972,816
10100,3,1015,867
10300,3,1043,897
10500,3,1079,929
10700,3,1152,961
10900,3,1161,987
11100,5,1218,1037
11300,3,1270,1077
11500,3,1328,1119
11700,3,1350,1157
11900,3,1400,1187
12100,3,1455,1235
12300,3,1492,1273
12500,3,1549,1315
12700,4,1600,1335
12900,3,1639,1381
13100,4,1688,1481
13300,3,1799,1500
13500,4,1853,1561
13700,4,1890,1586
13900,3,1934,1616
14100,4,1993,1685
14300,4,2045,1742
14500,4,2113,1792
14700,5,2143,1834
14900,4,2183,1871
15100,4,2272,1911
15300,5,2358,1975
15500,5,2416,2061
15700,4,2438,2129
15900,4,2532,2193
16100,5,2583,2175
16300,5,2646,2221
16500,4,2674,2265
16700,7,2775,2330
16900,5,2827,2399
17100,5,2882,2450
17300,5,2978,2515
17500,6,3013,2548
17700,5,3095,2675
17900,5,3145,2675
18100,6,3246,2741
18300,6,3306,2806
18500,5,3381,2864
18700,5,3461,2933
18900,6,3511,3028
19100,5,3579,3041
19300,7,3658,3111
19500,6,3734,3175
19700,8,3840,3281
19900,6,3934,3348
